year,county,applications_received,permits_issued_new,permits_issued_renewal,permits_issued_total,denial_arrest,denial_discretionary,denial_residency,denial_restraining_order,denial_mental_illness_addiction,revocation_arrest,revocation_discretionary,revocation_residency,revocation_restraining_order,revocation_mental_illness_addiction
2003,Adams,628,,,512,3,12,,3,-,2,1,-,2,-
2003,Alamosa,40,,,33,-,,,-,-,-,-,-,-,-
2003,Arapahoe,1125,,,977,6,,1,1,-,1,-,-,-,-
2003,Archuleta,267,,,267,-,,,-,-,-,-,-,-,-
2003,Baca,78,,,76,1,,,-,1,-,-,-,-,-
2003,Bent,7,,,6,1,,,-,-,-,-,-,-,-
2003,Boulder,269,,,257,1,1,,-,-,-,1,-,-,-
2003,Broomfield,73,,,60,-,4,,-,-,-,-,-,-,-
2003,Chaffee,46,,,41,-,,,-,-,-,-,-,-,-
2003,Cheyenne,10,,,10,-,,,-,-,-,-,-,-,-
2003,Clear Creek,42,,,39,1,,,-,-,1,1,-,-,-
2003,Conejos,20,,,20,-,,,-,-,-,-,-,-,-
2003,Costilla,-,,,-,-,,,-,-,-,-,-,-,-
2003,Crowley,10,,,9,-,,,-,-,-,-,-,-,-
2003,Custer,38,,,33,1,1,,-,-,-,-,-,-,-
2003,Delta,126,,,114,2,,,-,-,-,-,-,-,-
2003,Denver,501,,,474,24,1,,2,-,1,-,-,-,-
2003,Dolores,11,,,11,-,,,-,-,-,-,-,-,-
2003,Douglas,445,,,400,6,,,2,-,-,-,-,1,-
2003,Eagle,66,,,54,1,,,-,-,-,-,-,-,-
2003,El Paso,895,,,892,5,1,1,-,-,11,2,-,4,-
2003,Elbert,105,,,103,-,2,,-,-,-,-,-,-,-
2003,Fremont,281,,,281,-,,,-,-,-,-,-,-,-
2003,Garfield,149,,,109,-,,,-,-,1,-,-,-,-
2003,Gilpin,42,,,39,-,,,-,-,1,-,-,-,-
2003,Grand,128,,,125,-,,,-,-,-,-,-,-,-
2003,Gunnison,56,,,55,-,1,,-,-,-,-,-,-,-
2003,Hinsdale,44,,,44,-,,,-,-,-,-,-,-,-
2003,Huerfano,62,,,57,3,,1,-,-,1,-,-,-,-
2003,Jackson,5,,,5,-,,,-,-,-,-,-,-,-
2003,Jefferson,1321,,,1154,2,1,,1,-,2,-,1,2,-
2003,Kiowa,27,,,27,-,,,-,-,-,-,-,-,-
2003,Kit Carson,22,,,20,2,,,-,-,-,1,-,-,-
2003,La Plata,30,,,21,-,,,-,-,-,-,-,-,-
2003,Lake,10,,,10,-,,,-,-,-,-,-,-,-
2003,Larimer,217,,,175,2,4,,-,-,2,1,27,-,-
2003,Las Animas,54,,,53,1,,,-,-,-,-,-,1,-
2003,Lincoln,4,,,7,-,,,-,-,-,-,-,-,-
2003,Logan,18,,,18,-,,,-,-,-,-,-,-,-
2003,Mesa,261,,,248,1,,,-,-,-,-,-,-,-
2003,Mineral,4,,,4,-,,,-,-,-,-,-,-,-
